ID Producto,ID_Tarea_M,ID Unidad,Cant Colab,Tiempo,ID_Hab_Req,Costo MO
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
7,10,5,1,0.5,5,1000.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
8,9,5,1,1.5,5,2500.0
